GENE	adrenal_gland	anus	ascites	cardia	cerebral_cortex	cervix_uteri	colon	earwax	esophagus	gall_bladder	hair_follicle	kidney	liver	lung	lymph_node	milk	nasopharynx	oral_cavity	ovary	pancreas	placenta	prostate	rectum	saliva	salivary_gland	seminal_vesicle	skin	spleen	stomach	testis	thyroid_gland	tonsil	tube	uterus_post-menopause	uterus_pre-menopause	vulva
ENSG00000157216	x	6.79743289358434	x	x	x	x	x	x	7.10189156194114	x	x	x	x	x	x	x	x	x	15.9023960750049	x	x	x	x	x	x	x	x	x	x	18.0495304636529	x	x	x	13.4532241336585	23.8352280919255	x
ENSG00000142871	x	9.40361022134288	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	32.4460181504796	x	x	x	x	x	x
ENSG00000102174	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	36.5161452500395	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000175130	37.2817084068935	152.096061731902	x	28.095210655924	264.162309236007	32.8280256507483	185.577244510263	x	105.938987490192	30.1239562296551	x	33.9189557950795	128.289014723714	65.4841287246913	397.963744180732	476.07727060494	x	147.109184164384	518.23075888194	x	27.9546506675128	46.578225090547	166.495203542694	x	29.2188582853091	205.62261246622	35.5617615058092	83.4150617319295	109.079622017508	569.405446523393	123.478079450636	121.520425579984	150.368161011188	225.767113889859	244.440855958628	33.2622235741423
ENSG00000165240	x	x	x	x	x	x	x	x	2.65222120337493	6.03331387883815	x	16.9834686714134	2.9321050023623	42.6248954126564	3.88806537817709	x	x	x	x	x	5.59883902912934	4.06131849996744	x	x	5.8520382207639	x	x	x	7.28226169231584	2.39058439566991	x	2.70427394737702	x	x	x	x
ENSG00000100218	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	43.7742198702306
ENSG00000172020	11.1067197235336	x	x	x	16.8637470275785	x	179.67931788086	x	x	x	x	x	x	x	x	x	x	x	x	x	x	61.1829368239648	186.004307482271	x	78.3421992005369	296.864370581567	572.09352465579	x	32.4962787669202	63.220058053298	x	x	x	x	x	x
ENSG00000172172	8.92009894146065	9.09770486137524	x	x	x	x	x	25.7949050840605	x	10.8112804465957	x	146.079355882991	32.3144582637055	x	27.8685750765325	x	x	x	36.8366890003346	x	20.0654632378978	x	x	x	20.9728940543896	x	12.7628713135551	19.314147367106	x	34.2700928237733	x	x	x	x	x	x
ENSG00000115486	8.36855893556772	14.2253054610088	x	x	x	x	3.47134956646559	x	5.94498413746321	50.7140325348632	x	15.2274556469388	108.958984951342	7.3495530917724	2.17878574468729	x	x	x	x	x	25.0997233368234	9.10349183121252	x	x	x	x	x	6.03997711955871	x	55.7049912888461	x	x	x	x	x	x
ENSG00000029639	x	x	x	x	x	x	x	x	x	x	x	x	36.2466825668199	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000132604	x	x	x	x	x	x	17.6162553594221	x	x	x	x	x	x	x	x	x	x	x	44.7708810763955	7.78553380487654	x	x	x	x	x	x	x	53.8581902094116	x	x	x	x	x	x	x	x
ENSG00000139218	x	2.85486774584054	x	x	x	x	x	x	x	x	x	x	x	x	13.1177748653359	x	x	x	x	x	x	x	x	x	x	x	x	12.7794496668176	x	10.6218861071474	x	x	x	x	x	x
ENSG00000178372	x	75.2069874512521	x	x	x	x	x	18835.8360750901	78.5755266643638	x	1286.84692646738	x	x	x	x	58.8515194090362	x	420.282052857165	51.8244230698051	x	x	164.198750221265	x	1428.83871449763	2581.35063654761	x	3657.5209610189	112.21814765635	x	46.6361390606595	x	267.058857923158	33.045596372786	x	x	x
ENSG00000183117	1.56260170177896	x	x	x	x	x	x	x	x	x	x	x	x	x	2.44097532586414	x	x	x	3.29464027656621	x	x	2.54974576933273	x	x	x	x	x	x	x	x	x	x	x	x	x	x
