GeneID	#Tissues	maxPeptides	medianSpectralCount	medianAbundance	SpectralCount.Adult_Adrenalgland	SpectralCount.Adult_Bcells	SpectralCount.Adult_CD4Tcells	SpectralCount.Adult_CD8Tcells	SpectralCount.Adult_Colon	SpectralCount.Adult_Esophagus	SpectralCount.Adult_Frontalcortex	SpectralCount.Adult_Gallbladder	SpectralCount.Adult_Heart	SpectralCount.Adult_Kidney	SpectralCount.Adult_Liver	SpectralCount.Adult_Lung	SpectralCount.Adult_Monocytes	SpectralCount.Adult_NKcells	SpectralCount.Adult_Ovary	SpectralCount.Adult_Pancreas	SpectralCount.Adult_Platelets	SpectralCount.Adult_Prostate	SpectralCount.Adult_Rectum	SpectralCount.Adult_Retina	SpectralCount.Adult_Spinalcord	SpectralCount.Adult_Testis	SpectralCount.Adult_Urinarybladder	SpectralCount.Fetal_Brain	SpectralCount.Fetal_Gut	SpectralCount.Fetal_Heart	SpectralCount.Fetal_Liver	SpectralCount.Fetal_Ovary	SpectralCount.Fetal_Placenta	SpectralCount.Fetal_Testis	WithInSampleAbundance.Adult_Adrenalgland	WithInSampleAbundance.Adult_Bcells	WithInSampleAbundance.Adult_CD4Tcells	WithInSampleAbundance.Adult_CD8Tcells	WithInSampleAbundance.Adult_Colon	WithInSampleAbundance.Adult_Esophagus	WithInSampleAbundance.Adult_Frontalcortex	WithInSampleAbundance.Adult_Gallbladder	WithInSampleAbundance.Adult_Heart	WithInSampleAbundance.Adult_Kidney	WithInSampleAbundance.Adult_Liver	WithInSampleAbundance.Adult_Lung	WithInSampleAbundance.Adult_Monocytes	WithInSampleAbundance.Adult_NKcells	WithInSampleAbundance.Adult_Ovary	WithInSampleAbundance.Adult_Pancreas	WithInSampleAbundance.Adult_Platelets	WithInSampleAbundance.Adult_Prostate	WithInSampleAbundance.Adult_Rectum	WithInSampleAbundance.Adult_Retina	WithInSampleAbundance.Adult_Spinalcord	WithInSampleAbundance.Adult_Testis	WithInSampleAbundance.Adult_Urinarybladder	WithInSampleAbundance.Fetal_Brain	WithInSampleAbundance.Fetal_Gut	WithInSampleAbundance.Fetal_Heart	WithInSampleAbundance.Fetal_Liver	WithInSampleAbundance.Fetal_Ovary	WithInSampleAbundance.Fetal_Placenta	WithInSampleAbundance.Fetal_Testis
ENSG00000143603	1	3	3	4.8274813978556e-06	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.8274813978556e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ENSG00000143612	1	3	5	1.16179504902807e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.16179504902807e-05	-	-	-	-	-	-	-	-	-	-
ENSG00000143614	19	15	8	1.6746380959505e-05	-	16.5	11.5	37	6	-	-	5	-	-	-	-	4	20	13	13	-	8	4	7	-	6	4	8.5	3	9	-	10.5	-	12	-	2.43548795162223e-05	5.56962605914132e-05	2.9219878931217e-05	1.50621697110303e-05	-	-	5.27665419514364e-06	-	-	-	-	1.85434359664119e-05	1.85156474635121e-05	8.59470714358315e-06	3.5466635212447e-05	-	9.88239603270227e-06	1.27282043798981e-05	5.03021474770896e-06	-	1.45814581372754e-05	3.55917118332094e-06	3.35644438364095e-05	6.9497629374864e-06	1.23094394594762e-05	-	3.57122321496375e-05	-	1.13755088129003e-05
ENSG00000143621	30	24	34	0.000164255625278896	33	114.5	51	114.5	23.5	7	25	11.5	5	22	10	16	24	34	80.5	25	3	30	21	58	15	62.5	10	85.5	41	65	35	79	47.5	88.5	0.000232231083703388	0.000264290068807682	0.000304121797664627	0.000235491613492013	8.71151691784059e-05	8.75210336826118e-05	8.56910505356179e-05	3.16161484243097e-05	2.40108863144236e-05	7.78062247170329e-05	7.34734214395008e-05	8.13868828753832e-05	0.000415147639225418	0.000135561204790141	0.000342854102189818	0.000151412303753462	2.27715679877108e-05	7.03892502286926e-05	9.93503598054881e-05	0.000346786603906068	2.60237008262714e-05	0.000315382970914318	2.462068542004e-05	0.000301564053696989	0.000178781879227717	0.000164624879921436	0.000110208911490537	0.000379471067905986	0.000314630861454678	0.000353436586845695
ENSG00000143622	1	4	5	6.55774100156663e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6.55774100156663e-06	-	-	-	-	-	-	-	-
ENSG00000143624	14	19	9	7.95189562623907e-06	-	18.5	11	16.5	-	-	-	-	-	-	-	-	9	19	6.5	6	-	-	-	3.5	-	4	-	5	11	5	-	7.5	-	10	-	8.94619664568073e-06	1.07410780732934e-05	1.06169252094699e-05	-	-	-	-	-	-	-	-	3.01993398328378e-05	6.51177728271118e-06	6.43534073428452e-06	1.48447247021657e-05	-	-	-	4.32982719362894e-06	-	9.15524163800199e-06	-	3.79933872521447e-06	1.75255919014862e-05	6.92482974345443e-06	-	5.0522531970071e-05	-	6.63789910389453e-06
ENSG00000143627	5	27	55.5	6.92180276947686e-05	-	-	-	-	-	-	-	10	-	55	87.5	-	-	-	-	-	-	-	-	-	-	-	-	-	14	-	66	-	-	-	-	-	-	-	-	-	-	1.45112971643283e-05	-	9.66482201146496e-05	0.000263943473138155	-	-	-	-	-	-	-	-	-	-	-	-	-	1.81926737968842e-05	-	4.17878352748875e-05	-	-	-
ENSG00000143631	7	57	15	5.51953508841894e-05	15	-	-	34	-	-	-	-	-	-	-	8	-	18	-	-	-	-	14	-	-	8	119	-	-	-	-	-	-	-	6.00306021164522e-05	-	-	6.45493514798635e-06	-	-	-	-	-	-	-	4.1501568830461e-05	-	1.06686177500596e-05	-	-	-	-	0.000126433648338757	-	-	5.51953508841894e-05	0.000601255985220315	-	-	-	-	-	-	-
ENSG00000143632	13	35	276	0.01026662906584	-	-	107	368	-	2051	-	-	2143	-	172	-	265	606	-	-	225	-	-	-	-	-	378	82	513.5	103.5	32	-	-	-	-	-	0.00314602539202115	0.0150811282198378	-	0.088487340792348	-	-	0.132598032696433	-	0.00205471863772185	-	0.0170104202890357	0.00702769510423245	-	-	0.0261108194806914	-	-	-	-	-	0.0251613610510134	0.000678094994502232	0.01026662906584	0.00348418707777664	9.96282586233334e-05	-	-	-
ENSG00000143633	1	5	5	8.44230774595414e-06	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8.44230774595414e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
