GeneID	#Tissues	maxPeptides	medianSpectralCount	medianTop3Abundance	SpectralCount.CSF	SpectralCount.adipocyte	SpectralCount.bone	SpectralCount.breast	SpectralCount.heart	SpectralCount.lung	SpectralCount.ovary	SpectralCount.pancreas	SpectralCount.platelets_lysate	SpectralCount.platelets_secreted	WithInSampleTop3Abundance.CSF	WithInSampleTop3Abundance.adipocyte	WithInSampleTop3Abundance.bone	WithInSampleTop3Abundance.breast	WithInSampleTop3Abundance.heart	WithInSampleTop3Abundance.lung	WithInSampleTop3Abundance.ovary	WithInSampleTop3Abundance.pancreas	WithInSampleTop3Abundance.platelets_lysate	WithInSampleTop3Abundance.platelets_secreted
ENSG00000024422	3	28	481	0.00351317519939122	-	560	-	11	77	-	-	-	-	-	-	0.00427689854831129	-	0.000198917095366877	0.000820423998453135	-	-	-	-	-
ENSG00000025423	1	3	4	9.39993510075704e-06	-	-	4	-	-	-	-	-	-	-	-	-	9.39993510075704e-06	-	-	-	-	-	-	-
ENSG00000025708	4	24	73	0.000342385602835952	-	19	-	-	23.5	-	-	-	202	60	-	1.84004785245417e-05	-	-	0.000277014244088104	-	-	-	0.00039929804150205	5.74903606261438e-05
ENSG00000025772	1	3	14.5	2.19470510544177e-05	-	-	-	-	-	-	-	-	14.5	-	-	-	-	-	-	-	-	-	2.19470510544177e-05	-
ENSG00000025796	3	30	17	0.000379001353607519	-	-	-	9	-	17	-	158	-	-	-	-	-	0.000268163065250413	-	0.000379001353607519	-	0.00177768650068122	-	-
ENSG00000025800	1	3	4	8.51366783982503e-05	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	8.51366783982503e-05	-	-	-	-
ENSG00000026025	6	71	668	0.015211186156987	-	6765	6	321	497	-	-	668	99	-	-	0.0563502040047005	8.23505435214585e-05	0.00868764820269648	0.00401580523863359	-	-	0.0159704969553063	0.000484862520798525	-
ENSG00000026508	4	9	16	0.000559645107922301	-	-	41.5	13	-	3	-	126	-	-	-	-	0.000355705268877375	0.000601421003723891	-	5.6249257418076e-05	-	0.00519609232232166	-	-
ENSG00000028528	4	9	18	8.04063486478866e-05	-	-	-	20	28.5	-	-	4	12	-	-	-	-	0.000501426831550928	0.000127257763364096	-	-	0.000169225549086099	3.97342761375808e-05	-
ENSG00000029534	2	19	15	5.61279809508841e-05	-	15	-	-	-	-	-	-	21.5	-	-	5.75840664518089e-05	-	-	-	-	-	-	5.07938451824787e-05	-
ENSG00000029639	1	4	5.5	4.39463763052335e-05	-	-	-	-	-	5.5	-	-	-	-	-	-	-	-	-	4.39463763052335e-05	-	-	-	-
