GeneID	#Tissues	maxPeptides	medianSpectralCount	medianTop3Abundance	SpectralCount.adrenal_gland	SpectralCount.anus	SpectralCount.ascites	SpectralCount.cardia	SpectralCount.cerebral_cortex	SpectralCount.cervix_uteri	SpectralCount.colon	SpectralCount.earwax	SpectralCount.esophagus	SpectralCount.gall_bladder	SpectralCount.hair_follicle	SpectralCount.kidney	SpectralCount.liver	SpectralCount.lung	SpectralCount.lymph_node	SpectralCount.milk	SpectralCount.nasopharynx	SpectralCount.oral_cavity	SpectralCount.ovary	SpectralCount.pancreas	SpectralCount.placenta	SpectralCount.prostate	SpectralCount.rectum	SpectralCount.saliva	SpectralCount.salivary_gland	SpectralCount.seminal_vesicle	SpectralCount.skin	SpectralCount.spleen	SpectralCount.stomach	SpectralCount.testis	SpectralCount.thyroid_gland	SpectralCount.tonsil	SpectralCount.tube	SpectralCount.uterus_post-menopause	SpectralCount.uterus_pre-menopause	SpectralCount.vulva	WithInSampleTop3Abundance.adrenal_gland	WithInSampleTop3Abundance.anus	WithInSampleTop3Abundance.ascites	WithInSampleTop3Abundance.cardia	WithInSampleTop3Abundance.cerebral_cortex	WithInSampleTop3Abundance.cervix_uteri	WithInSampleTop3Abundance.colon	WithInSampleTop3Abundance.earwax	WithInSampleTop3Abundance.esophagus	WithInSampleTop3Abundance.gall_bladder	WithInSampleTop3Abundance.hair_follicle	WithInSampleTop3Abundance.kidney	WithInSampleTop3Abundance.liver	WithInSampleTop3Abundance.lung	WithInSampleTop3Abundance.lymph_node	WithInSampleTop3Abundance.milk	WithInSampleTop3Abundance.nasopharynx	WithInSampleTop3Abundance.oral_cavity	WithInSampleTop3Abundance.ovary	WithInSampleTop3Abundance.pancreas	WithInSampleTop3Abundance.placenta	WithInSampleTop3Abundance.prostate	WithInSampleTop3Abundance.rectum	WithInSampleTop3Abundance.saliva	WithInSampleTop3Abundance.salivary_gland	WithInSampleTop3Abundance.seminal_vesicle	WithInSampleTop3Abundance.skin	WithInSampleTop3Abundance.spleen	WithInSampleTop3Abundance.stomach	WithInSampleTop3Abundance.testis	WithInSampleTop3Abundance.thyroid_gland	WithInSampleTop3Abundance.tonsil	WithInSampleTop3Abundance.tube	WithInSampleTop3Abundance.uterus_post-menopause	WithInSampleTop3Abundance.uterus_pre-menopause	WithInSampleTop3Abundance.vulva
ENSG00000157593	2	4	4	2.17253343467827e-05	-	5	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8.26789851918132e-06	-	-	-	-	3.51827701743842e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ENSG00000157601	18	33	16	4.63962078069928e-05	-	93	-	16	-	5	-	-	73	-	-	6	-	60	58	-	-	48	29.5	9	-	11	-	-	10	-	-	44	44	15.5	-	36	-	11	20	-	-	0.000259816697688292	-	1.58134199407672e-05	-	1.90816025971071e-05	-	-	0.000238444999906347	-	-	2.02920045880875e-05	-	0.000116976708962275	0.00016187405697692	-	-	3.12230865654349e-05	3.7756374467838e-05	1.8438921071892e-05	-	2.75598447200148e-05	-	-	1.01989637448561e-05	-	-	0.000163188471329451	0.000162742981961731	6.14678250241495e-05	-	4.63962078069928e-05	-	2.82621578150408e-05	6.39214327319291e-05	-
ENSG00000157617	1	3	4	5.96181572208646e-06	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.96181572208646e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ENSG00000157637	2	12	16	4.64088027840649e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	-	-	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.02495085714955e-06	-	-	8.77926547109803e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ENSG00000157654	14	14	10	1.73695801335661e-05	9	19	-	-	-	-	5	-	-	10	-	-	8.5	-	12	-	-	-	-	-	26	9.5	-	-	9	-	13	12	-	-	-	-	-	3	21	6	1.74035623825176e-05	1.8079473594791e-05	-	-	-	-	1.4344213156068e-05	-	-	2.15236040483622e-05	-	-	3.61120238397921e-05	-	1.97464235450668e-05	-	-	-	-	-	0.000226629773610518	1.5429409334127e-05	-	-	1.008048937899e-05	-	5.08959617039722e-06	2.09045648773482e-05	-	-	-	-	-	1.03528728614004e-05	4.30725836816475e-05	3.51589240024369e-06
ENSG00000157765	2	8	26	7.37648113546107e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	41	-	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.000124969051583052	-	2.25605711261699e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ENSG00000157766	10	19	11.5	1.50942359030684e-05	-	-	-	-	11	-	12	-	17	-	-	-	-	-	167	-	-	-	-	4	-	4	-	-	-	16	-	4	-	35	-	11	-	-	-	-	-	-	-	-	5.49871542718975e-06	-	4.67653405772751e-05	-	1.83106324933364e-05	-	-	-	-	-	0.000183543357220816	-	-	-	-	1.18778393128003e-05	-	2.11817389300787e-06	-	-	-	3.23917053015746e-05	-	1.02025854256534e-06	-	4.79205526244054e-05	-	7.4654744021303e-06	-	-	-	-
ENSG00000157778	12	4	4.5	1.93243765001063e-05	5	3	-	-	-	3	-	-	4	5	-	-	4	5	-	-	-	5	-	8	-	6	-	-	3	-	-	-	-	-	-	4	-	-	-	-	2.41078787954821e-05	8.72157297945372e-06	-	-	-	1.84800309440224e-05	-	-	1.63700573381111e-05	2.56330090676237e-05	-	-	2.01687220561902e-05	2.75332359884555e-05	-	-	-	2.43074134220337e-05	-	2.72038913304205e-05	-	1.21344650355468e-05	-	-	8.19611112278283e-06	-	-	-	-	-	-	1.32637651469974e-05	-	-	-	-
ENSG00000157796	2	5	4	9.91118797215045e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.11530188753784e-05	-	-	8.66935706892247e-06	-	-	-
ENSG00000157827	4	26	9	3.49288197356865e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7.5	-	9	-	-	-	-	-	-	7	-	49	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9.13675885794123e-06	-	5.7428401860555e-05	-	-	-	-	-	-	6.99796544193876e-06	-	0.000103681843118247	-	-	-	-	-	-
ENSG00000157870	18	7	6	2.23660032733157e-05	14	-	-	3	4	6	5	-	3	-	-	-	-	-	3	-	-	7	6	9	-	5	4	-	7	4	-	6	9	7	-	-	5	-	-	-	6.25968384872206e-05	-	-	4.84382217616803e-06	6.78865349120639e-06	1.93187682519765e-05	1.33239252669113e-05	-	1.24630147075356e-05	-	-	-	-	-	1.25346678416091e-05	-	-	2.00231519329443e-05	4.50525451000161e-05	3.18767422187668e-05	-	3.29385926764667e-05	3.5331716806251e-05	-	2.23660032733157e-05	1.01922152395209e-05	-	2.02364495452099e-05	4.77415451771151e-05	2.91701645453403e-05	-	-	6.07487553573735e-05	-	-	-
ENSG00000157881	22	24	15	2.93903579417613e-05	29	6	-	14	-	19	22	-	22	-	-	-	10	-	27	-	-	-	17	5	-	16	15	-	25	-	12	7	29	20	12	32	15	11	20	-	4.64640755084046e-05	1.40919211717328e-05	-	1.06502044780921e-05	-	2.39408983502975e-05	3.95131178607205e-05	-	3.80953339677068e-05	-	-	-	2.55589063577304e-05	-	0.000129209745589742	-	-	-	2.82788504523443e-05	1.65362142480646e-05	-	4.77457467633022e-05	1.21603238251834e-05	-	3.01632765885756e-05	-	9.61124768177075e-06	1.56978391164906e-05	7.16351342346207e-05	7.1783231089013e-05	1.93781301679367e-05	3.29658132062442e-05	2.86174392949469e-05	3.27740273903679e-05	5.36971315783362e-05	-
ENSG00000157916	16	5	11.5	3.8474773541672e-05	17	13	-	-	-	-	6	-	14	-	-	-	-	-	10	-	-	14	-	7	26	-	-	-	5	6	-	7	21	19	4	13	-	-	4	-	4.74134669299238e-05	2.48026879394248e-05	-	-	-	-	0.000103437441915666	-	4.2729541026102e-05	-	-	-	-	-	3.6435329114707e-05	-	-	2.62664748627165e-05	-	3.38641506451629e-05	0.000662845054513326	-	-	-	1.22020298333812e-05	4.9843870512784e-05	-	1.43107555381756e-05	0.000136382710963355	0.00013036990776561	6.62344817692785e-06	4.0514217968637e-05	-	-	2.12628550040078e-05	-
