Gene ID	Adult_Adrenalgland	Adult_Bcells	Adult_CD4Tcells	Adult_CD8Tcells	Adult_Colon	Adult_Esophagus	Adult_Frontalcortex	Adult_Gallbladder	Adult_Heart	Adult_Kidney	Adult_Liver	Adult_Lung	Adult_Monocytes	Adult_NKcells	Adult_Ovary	Adult_Pancreas	Adult_Platelets	Adult_Prostate	Adult_Rectum	Adult_Retina	Adult_Spinalcord	Adult_Testis	Adult_Urinarybladder	Fetal_Brain	Fetal_Gut	Fetal_Heart	Fetal_Liver	Fetal_Ovary	Fetal_Placenta	Fetal_Testis
ENSG00000112984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.24277565771486e-06	0	0	0	6.21923773499688e-06	0	0	0	0
ENSG00000112992	0.000130955988663585	0.000183180233742023	0.000200402273769308	0.000234222150767126	7.84690247974346e-05	0.000102666625530047	0.000488520556599341	8.6551934010038e-05	0.00232527589272676	0.000284723474701719	0.00070110779299988	9.86759190308331e-05	0.000302828621481395	0.000122131828697624	7.54637032136509e-05	0.000195596517176678	0.000324892762150939	7.86003110391573e-05	0.000180888931896464	0.000291888512281251	0.000159505134991308	8.49840128803614e-05	7.949134419088e-05	0.000275985684174164	0.000113413588074278	0.000430983224599238	3.85987133554182e-05	0.000156324197120873	6.43079810392875e-05	6.12355919930783e-05
ENSG00000112996	7.6510919876919e-05	3.52370770239874e-05	0	4.09907794950406e-05	9.11574021384253e-06	0	0	0	0	0	0	0	0	0	0	3.18459463793398e-05	0	0	0	0	0	2.95548263069803e-05	0	0	0	3.82842647620043e-05	0	2.27847980023482e-05	0	0
ENSG00000113013	0.00225539564391036	0.000401875495016982	0.000710179557371276	0.000644740610416192	0.000282769018382358	0.000173014850372565	0.00117309287754906	0.000176597914950256	0.000793109804229094	0.000573745045454318	0.00103530117141755	0.000192223910895489	0.000444552707090615	0.000392812792659492	0.000724046701156841	0.001014189756554	0.000191110386108193	0.000288801752196501	0.000280778314582364	0.000562857517312685	0.000393101275034047	0.000637304217591668	0.000222767462878403	0.000503795108530521	0.000335967871044709	0.000550008574075028	0.000626804107942683	0.000715736296790668	0.000234183127282007	0.00037050375896883
ENSG00000113048	5.7485586591259e-05	2.57974926910273e-05	4.98337419079744e-05	2.66309716493005e-05	4.77883158736076e-05	0	1.40512402451112e-05	0	2.86378246589012e-05	4.94325791455846e-05	2.81859521091027e-05	0	5.51044942409099e-05	0	2.44020163935743e-05	2.00089118152103e-05	0	1.68505735838206e-05	0	1.35965628856412e-05	0	1.96094966274219e-05	5.53670519227154e-06	7.40095823733943e-06	0	2.07799375949451e-05	1.40897665580084e-05	4.02625013967047e-05	0	2.38199649662477e-05
ENSG00000113068	0	0	0.000167883364343948	4.86256847197306e-05	1.32165083376906e-05	0	0	1.75269731427279e-05	4.53412647138315e-05	0	0	0	6.6555637541249e-05	4.06347917973978e-05	2.65143641205865e-05	0.000141772685257202	0	5.92335681243508e-05	2.78703325893189e-05	2.52604147841636e-05	2.74152345267038e-05	2.58746090206999e-05	0	0.000100724600719546	5.38814148147908e-05	2.46732902586622e-05	3.66777811868118e-05	0.000124697529999978	0	2.22597348252393e-05
ENSG00000113083	0	0	0	0	0	0	0	2.60789190068661e-05	0	0	0	0	0	0	0	3.64969543694655e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000113088	0	2.65869338702327e-05	0.000165829625992886	0.000593719780044691	0	0	0	0	0	0	0	0	0	0.000142128876412494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000113140	5.57913582736424e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000140526516160113	0	0.000389942201113862	1.99590530253881e-05	0	1.68833286574011e-05	7.65057654271753e-05	0.000211408594350717	1.45684701146026e-05	2.82255414887294e-05	7.56516243691824e-05	3.3974853741219e-05	0	0.000159969706614592	9.85729686911974e-05	0.000221090780177672
ENSG00000113141	0	7.229495137558e-05	5.02428228743952e-05	8.91414651054859e-05	1.93863176737278e-05	0	5.43450574559375e-06	9.60165083471554e-06	0	0	2.67210451020497e-05	2.8117787996813e-05	0.000141836084115587	8.17963502002243e-05	3.00874882367871e-05	6.48903005204042e-05	0	1.55130511772564e-05	0	2.75652739529549e-05	0	7.10441295933554e-05	0	2.1978215036098e-05	3.13373774355682e-05	3.07020420775704e-05	1.42950501812557e-05	0.000100998191703047	1.26842425954637e-05	7.55406996214946e-05
ENSG00000113161	0	0	0	0	0	0	0	0	0	0	1.46808668132722e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20803313222773e-05	0.000242245507351545	0	0.000320975858151728
ENSG00000113163	9.20284285581639e-05	2.11703500027413e-05	2.09962922706224e-05	1.86819110918514e-05	0	0	0	1.0755428906086e-05	0	0	7.5714714507552e-06	0	0.00012179361344172	1.55054114573211e-05	2.43181638944682e-05	2.30410170760452e-05	1.55021588028922e-05	1.29997382693086e-05	9.51953415462976e-06	0	0	2.78230671659368e-05	1.16015404827213e-05	2.98808895484151e-05	1.49593054683348e-05	9.31770583443197e-06	9.40371449675711e-06	8.25237084939319e-05	0	3.51771809025171e-05
ENSG00000113194	0.000132125134549501	4.95812681513259e-05	3.86379928560828e-05	3.10799190827908e-05	3.41257924689051e-05	0	3.59809728469969e-05	1.00369983341127e-05	0	1.20974816947388e-05	4.47780870323814e-05	4.58962146823167e-05	3.7732491636516e-05	6.67921596773195e-05	0.000152657779360587	5.44760727010047e-05	5.30521246970041e-05	2.6602937448222e-05	2.67896344817562e-05	8.58683606667097e-05	2.82550239002e-05	0.000127856026305099	1.93779881103184e-05	6.41892637782352e-05	6.73634708145323e-05	3.24635873983222e-05	2.64084825950091e-05	0.000181950299857529	1.46569026143072e-05	0.000171762601619969
ENSG00000113263	0	0	0	1.3187901578887e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000113272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.69924123561843e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000113273	0	0	0	0	0	0	0	0	3.51647328606262e-05	2.99789938067264e-05	2.49475108928568e-05	0	6.91582732317675e-05	0	0	0	0	0	0	8.92829918961781e-06	0	6.96103922787206e-06	0	2.07851655916451e-05	0	1.16142287676216e-05	0	0	0	0
ENSG00000113282	8.52026690446249e-05	0.000104070964587775	0.000122965403409527	6.35716328929936e-05	3.28206565340297e-05	0	2.94857729300738e-05	1.4821322728043e-05	0	3.9071758903262e-05	2.65242839038679e-05	2.84940719407601e-05	0.000174081619556377	0.000110617740149416	5.12165385701413e-05	0.000120231747133309	0.000187414560829387	3.4981884593675e-05	4.98094437285044e-05	4.89110759096921e-05	1.00493065375068e-05	6.48228093636961e-05	3.38099024037337e-05	3.80666844473418e-05	5.74320417644326e-05	5.8984564993625e-05	5.03948117646141e-05	0.000131888994857181	6.49493157953353e-05	0.0001571377374882
ENSG00000113296	0	0	0	0	5.00411177699611e-05	1.0138997619838e-05	0	0	4.33741476833332e-05	0	0	0	0.000115583627421454	0	4.70661145561083e-06	1.3740546048138e-05	0	2.67931801195563e-06	2.57182972381508e-05	0	0	6.08310172804334e-06	0	0	0	0	0	0	0	0
ENSG00000113312	9.61204329352382e-05	7.5103444638704e-05	7.40888081990789e-05	5.66115335530901e-05	6.29599479915096e-05	0	2.67155265652329e-05	1.28775993696184e-05	0	0	3.75800998685194e-05	0	9.27802502497676e-05	3.71904941696732e-05	3.70206042180072e-05	2.576245295022e-05	1.86400885030713e-05	3.50166499252059e-05	3.66941276885121e-05	4.13377100904355e-05	5.65874659400613e-05	6.71550901738642e-05	4.43734708486878e-05	2.20739423103607e-05	2.14151519362761e-05	1.33216329046806e-05	1.93991990808578e-05	0.000213893624775644	0	3.01336609803403e-05
ENSG00000113318	0	1.71594707355271e-05	0	1.79684499972084e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.98434275045422e-06	0	0	0	0	0	0	0	0	0	0
ENSG00000113319	0	0	0	8.48149235574165e-06	0	0	3.56769214093331e-05	0	0	0	0	0	0	0	5.24137944461978e-06	0	0	0	0	6.85137813353561e-06	0	0	0	0	0	0	0	0	0	0
ENSG00000113327	0	0	0	0	0	0	4.73233931750135e-05	0	0	0	0	0	0	0	0	0	0	0	0	3.62712776945572e-06	0	0	0	0	0	0	0	0	0	0
ENSG00000113361	0	0	0	0	0	0	0	0	0	1.82598203435279e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000113368	8.01393083077013e-05	0.00134102921382093	0.00191325542731943	0.00196873544871011	0.000197947767389867	0.000123235994941102	1.19796004506003e-05	0.000112198115703516	2.17683055096148e-05	5.63723847444552e-05	0.00014466772160344	0.000229380329024681	0.0023087157830031	0.00120438554116095	0.000103462324867319	0.000769669476377344	4.78157154558828e-05	0.000125181042918919	0.00038778212338675	0.000429312344840841	4.23259059210187e-05	0.000187767903276397	5.40781782545086e-05	0.000969983213837961	0.00117682872526494	0.000629285751075076	0.000236742722484767	0.000964841237067304	0.000311577743887652	0.000554192109249661
ENSG00000113384	1.95548226249763e-05	1.63436728441884e-05	3.40193278343946e-05	2.38756092781232e-05	3.70459446558509e-05	0	1.33408172088977e-05	0	0	0	7.89757002336078e-05	3.83787808076805e-05	3.8398751686807e-05	2.53741634320571e-05	1.65033279139525e-05	1.82212476896336e-05	1.30026634753829e-05	3.12021737262616e-05	3.2715618346237e-05	1.22855573230649e-05	0	3.29839007545673e-05	0	6.80059099902816e-06	3.65303126131242e-05	0	5.69004615452828e-06	2.83751152906711e-05	0	2.26033355504555e-05
ENSG00000113387	0.000129767883158183	0.000323455590164345	0.000763547353334934	0.000630746493158474	9.96081686760937e-05	5.06958231350799e-06	4.7396717836013e-05	4.67981072573099e-05	3.60801651035734e-05	0.000163200411730312	0.000111797056230113	0	0.000485900325261054	0.000639766213806414	0.000102166434610734	0.000267692923156666	0	6.05817779459681e-05	0.000125985410954624	0.000144562683231806	1.0366493482055e-05	0.000178691323818388	3.20285916075875e-05	0.000107350834888084	0.000416988920151943	0.000161084007706277	7.89046580716798e-05	0.000387962879114999	0.000115587671151685	0.000157978587676821
ENSG00000113389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.73048346711902e-05	0	0	0	0	0
ENSG00000113391	0	2.43644208005843e-05	2.97431981502039e-05	2.16654197679204e-05	0	0	0	0	0	0	0	0	0	0	0	1.88863160374908e-05	0	1.31420815779585e-05	0	1.21782124206929e-05	0	0	8.00478036495027e-06	0	0	8.26645740230282e-06	0	0	0	2.33695141182102e-05
ENSG00000113396	0.000169209043162093	0	0	0	0	0	0	0	4.4807754221989e-05	0	0	0	0	0	1.44738711271805e-05	0	0	0	0	0.000113562289845375	1.91870120436827e-05	4.04381891477026e-05	0	0	0	9.71500071190982e-05	0	2.87950059039606e-05	2.61457137505714e-05	1.53668522884485e-05
ENSG00000113407	8.60383167379412e-05	0.000131417192791525	0.000147347196367343	0.000110823700129226	8.76793318843232e-05	3.06848721234278e-05	4.90691465436601e-05	4.6208565224179e-05	2.82952445956953e-05	2.76784118884085e-05	0.000147011313201857	3.59019603072457e-05	0.000158517441216714	0.000120723353245693	9.00760530641973e-05	0.000242307990210718	0.0001337205003305	4.61255226945704e-05	7.7729725013578e-05	0.000207668613414341	6.48635967565336e-05	0.000109320627743891	4.82686554424393e-05	8.78430191442848e-05	7.46476497411437e-05	5.90868946151361e-05	9.2802532790881e-05	0.000137342709864212	4.33163941269015e-05	3.49160775468186e-05
ENSG00000113441	3.9343317037423e-05	0.00013397828939642	0.00010289613543935	8.94544016323134e-05	3.15972043029066e-05	1.15279203950133e-05	2.27395000186753e-05	1.58980846513038e-05	4.01914773319285e-05	0	5.01468417767762e-06	3.83877447715654e-05	0.000170890465863885	6.45571825486715e-05	5.75919123554795e-05	4.53069395573656e-05	1.71965005696013e-05	2.68367186414676e-05	3.51300740241521e-05	2.74951378639249e-05	0	3.29145146525209e-05	1.97663559693533e-05	0	3.70040756019824e-05	2.85196990083072e-05	6.87083595758075e-06	4.1654981584133e-05	2.69590916656665e-05	8.29804698445781e-06
ENSG00000113448	0	0	0	0	1.67174227774656e-05	0	5.22087440052425e-06	0	0	0	0	0	0	0	0	0	0	2.08294695198657e-05	2.5848716046558e-05	0	0	0	4.88347867749681e-05	0	0	0	0	0	0	0
ENSG00000113456	0	1.94934490852451e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000113460	0	4.92338481650815e-05	0.000223413064279123	4.12484530198941e-05	0	0	0	0	0	0	2.3191880954778e-05	0	0	2.9101791601142e-05	3.21684730803989e-05	2.9254980396783e-05	0	0	0	0	0	5.57222874110553e-05	0	0	1.93249583508315e-05	0	0	9.87227269638325e-05	0	8.42757942490141e-05
ENSG00000113492	0	0	0	0	0	0	0	0	0	0.000186090973475067	0.000151815222609513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37338201583057e-05	0	0	0
ENSG00000113504	0	0	0	0	0	0	0	0	0	0	2.03604418477751e-05	0	0	0	9.84048581395864e-05	0	0	0	0	3.2960067535168e-05	0	5.01350036642754e-05	0	0	0	0	0	0	0	0
ENSG00000113522	6.9260071901347e-05	0.000113623901926912	9.2086925109919e-05	0.000101091898370639	3.2233354623753e-05	0	6.85353251420768e-06	2.62632149083218e-05	0	0	3.41595860291583e-05	5.39413982361516e-05	9.88774403058511e-05	0.00010636184944758	9.18181670407769e-05	8.17394169999305e-05	0	2.52022357558896e-05	3.55254347882221e-05	2.6622519193817e-05	1.36001501090251e-05	5.90348326367352e-05	1.57516003563742e-05	2.01159443944477e-05	7.60467262762628e-05	4.49053330911353e-05	2.9287167436099e-05	0.000156063392070483	3.35641669230716e-05	6.42542367765901e-05
ENSG00000113552	0.000126540175956349	4.34130890766527e-05	7.1242683596268e-05	0.000124118433574368	9.31911165850087e-05	2.54406280405911e-05	0.000128044516978367	5.77028225997781e-05	6.46153388649896e-05	0.000197631236349564	9.51956890854434e-05	9.9483983015099e-05	6.40884605723087e-05	9.59931072345418e-05	0.000193271306025907	7.41295310532185e-05	0	5.5383419118251e-05	8.35726689200276e-05	0.000110206733004775	8.93355212650328e-05	0.000214752566961363	9.11353801985423e-05	6.77117542749948e-05	0.000239260306218865	6.90979563035512e-05	2.4720154701862e-05	0.000226040857977765	6.05101645142827e-05	0.000175054432745561
ENSG00000113558	0.000161315480899226	6.8456507753946e-05	0.000169566418189635	8.14466473126842e-05	4.72220880238722e-05	2.80614135212666e-05	3.17849986107305e-05	3.16028616202006e-05	2.22533382222923e-05	3.9664985284051e-05	3.61137947336092e-05	4.87069143340624e-05	0.000240146754611262	0.00029968481316545	6.90861314071446e-05	0.000163574399005442	3.2004577304987e-05	5.71772079302406e-05	4.58963823751243e-05	0.000136170828643484	0.000120736615492649	8.70989859902905e-05	3.55784672802465e-05	0.000122542426535651	3.42790061454864e-05	6.33323136859782e-05	2.95672092781743e-05	0.000306802785139474	8.92461538939176e-05	0.000110502668160221
ENSG00000113569	1.27571955027865e-05	4.84236337714257e-05	0.000106163671164706	6.29188960478665e-05	4.37345509411863e-06	7.42446288777576e-06	7.09431924318406e-06	0	0	0	2.76653361208676e-05	0	4.3470779954415e-05	3.02189896921695e-05	8.95173640447833e-05	2.84878947396795e-05	0	2.11765745951314e-05	1.52541166187989e-05	3.7101498773004e-05	0	5.44154646600207e-05	9.99373506415856e-06	2.56269388894245e-05	3.81177781074008e-05	1.37732147997854e-05	2.9732879800586e-05	6.12475289056751e-05	2.54622505577742e-05	1.59297831226069e-05
ENSG00000113575	0.000174141218097321	0.000166813265543914	0.000248998950938973	0.000236295855761427	0	8.52213278608365e-05	0	0	0.000159564184746004	7.04242186576372e-06	0.000103644668618329	0	0.000181919057045128	0.000159897381538668	0	0.000142841276993163	0.000142993827519266	0	0	0.000478257255424774	0	0	0	0	0.000126942530639778	0.000180314937409321	0.000150577256243732	4.13999894208827e-05	0.000128521226686763	0.000255295680136133
ENSG00000113578	0	0	0	0	0	0	2.79041216983096e-05	0	9.98464249595222e-06	0	0	0	0	0	0	0	0	0	0	3.81341890077856e-05	5.9483247167484e-05	0	0	0	0	3.29718228495328e-05	0	0	0	0
ENSG00000113580	0	5.3659492792979e-06	5.87696135026901e-05	1.92827601304316e-05	0	0	2.39853509156427e-06	0	0	0	0	0	7.19407691852829e-05	2.68564391450487e-05	0	0	0	0	0	0	0	6.03858875991472e-06	0	0	0	7.70918292648445e-06	0	0	0	0
ENSG00000113593	0	2.57343852250053e-05	7.16295958858786e-05	5.82440220082993e-05	0	0	0	1.30336896849552e-05	0	0	0	0	7.88710296135738e-06	3.0183306647587e-05	3.64680520729891e-05	2.81297154587165e-05	0	0	0	1.45270019515083e-05	0	2.14507604198561e-05	0	0	1.96576332213249e-05	7.13426591900844e-06	2.45162567436539e-06	6.23352989976021e-05	0	2.0581161170508e-05
ENSG00000113597	0	0	0	5.21958493691267e-06	0	0	0	0	0	0	0	0	4.47400352623241e-05	0	0	0	0	8.26372754266599e-06	0	9.75074353889021e-06	0	1.03685188276349e-05	0	0	0	0	0	0	0	0
ENSG00000113600	0.000373631690541392	0	0	0	0.000135923195542961	0.000235837220556526	9.24697328608728e-06	0.00044776714984924	0.000108506978331526	0.0004404978194999	0.00016808440895234	0.000109067660057202	0.00119814405762324	0	0.000437244051816983	0.000326270421858402	1.71291384612737e-05	0.000297082934961909	0.000138295557012561	3.17557644421399e-05	0.00010272215215188	0.000284080124007195	0.000250246750818691	0	2.8057157479335e-05	0	0	0	7.34666117388697e-05	0
ENSG00000113615	1.38083236710835e-05	1.01389079735829e-05	2.13065854850111e-05	1.01078419309665e-05	0	0	0	0	0	0	1.84321777541159e-05	0	4.35258326618578e-05	7.69622040523099e-06	0	3.4663195251043e-05	0	6.12156996758792e-06	0	9.8474019591911e-06	0	1.81000797646603e-05	0	1.01246454109851e-05	1.73011032964658e-05	5.29311739378135e-06	1.44412197484837e-05	1.22821523440346e-05	9.80745315071299e-06	1.86218838250401e-05
ENSG00000113621	0	0	0	0	0	0	0	0	1.21105966630153e-05	0	0	0	0	0	5.99024678966116e-06	0	0	0	0	4.3861282669206e-06	0	7.47073008766832e-06	0	0	0	0	0	1.84992403096967e-05	0	0
ENSG00000113638	0	0	0	7.25131547678578e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12149094825377e-05	0	5.86212627387277e-06	0	0	0	0	0	0	0	0
ENSG00000113643	0.000213921652835148	7.44866988292783e-05	0.000204840483545704	0.000132010869863232	0.00012537495358591	4.2914357049215e-05	7.25611647277421e-05	4.06814498189243e-05	6.67717270797653e-05	3.55315324535986e-05	8.12708587316233e-05	9.02614127648677e-05	0.000162817421006436	6.25550737802601e-05	0.000188750259550872	0.000310404222018828	4.60617643269857e-05	7.11802196248632e-05	9.26246603132015e-05	0.000134516288708709	5.05965304797814e-05	0.000102616900235846	5.26199199414162e-05	8.47412158480902e-05	0.000159108809798381	6.38335080238853e-05	6.52893191335249e-05	0.000256305486184336	3.88940511275739e-05	9.81665843086846e-05
ENSG00000113648	0.000272764250537544	0.00162819426768198	0.00134393857848804	0.0014047450894516	0.000162055464777965	0.000144911660018949	9.2401668015546e-05	9.23565146635808e-05	9.32674473448609e-05	0.000123121670798755	6.43130563977934e-05	0.000312541155005631	0.0012048043022241	0.000945183528671107	0.000507992704338616	0.000559795344088026	3.72365067488814e-05	0.000153877128360902	0.000204043968073714	0.00180766670933054	3.71699665968949e-05	0.000639001533546998	9.68421172939495e-05	0.000717997525093554	0.000315250370433756	0.000366152966485614	0.000177773577763545	0.000651962788138684	0.000436637670725424	0.000655288019284952
ENSG00000113649	3.08952883087513e-05	0.00010119491237569	0.000199333147767016	0.000121349126344376	0	0	9.43891357526021e-06	7.69428787074079e-06	0	0	2.26723920290846e-05	0	0.000115845580211725	7.98846177279151e-05	4.4669447664196e-05	3.56488633929284e-05	0	1.44020993732819e-05	2.38772198709518e-05	4.63957808264157e-05	0	4.18896311776143e-05	5.00633293860689e-06	3.87330155300945e-05	5.64085579126377e-05	4.442108817656e-05	2.20695648368338e-05	0.000102486028576059	3.35247906400465e-05	5.34687177691014e-05
