GENE	adrenal_gland	bcells	cd4tcells	cd8tcells	colon	esophagus	fetal_brain	fetal_gut	fetal_heart	fetal_liver	fetal_ovary	fetal_placenta	fetal_testis	frontalcortex	gall_bladder	heart	kidney	liver	lung	monocytes	nkcells	ovary	pancreas	platelets	prostate	rectum	retina	spinalcord	testis	urinarybladder
ENSG00000164294	x	x	x	x	x	12.9223053127727	x	57.6209197623839	70.3094724389746	8.83290258032272	49.1928056469155	71.0817053512901	94.8280061852521	10.673506884775	16.8995778419344	x	x	x	50.3626811185725	x	x	44.7049474491206	17.1701551408186	x	17.7077515276149	x	x	x	55.0586564226967	6.70764388208145
ENSG00000214960	x	x	x	x	x	x	5.90562032897003	x	4.52416050434067	x	x	x	x	14.3297166762196	x	x	x	3.2526049493385	x	x	x	6.77058004992562	x	x	3.84122098876898	x	5.81721637931608	6.78623618002275	5.79593640812983	6.3182623254061
ENSG00000159131	185.176854156788	328.22453067586	321.476189193086	297.081877793478	167.075111658018	63.0854395815935	249.432598708733	269.352613631725	211.516159122001	195.210146876019	334.961264524456	23.8919098956141	317.492734245493	91.4326146273049	57.2757054461781	49.5215957293797	30.9981662221974	183.274433601583	47.2279403284846	246.296924825086	160.033860341328	333.518192167587	235.95122212818	91.1581094136436	119.039943510813	172.440336547055	101.844229576552	141.87074836059	297.51928300396	117.372807174802
ENSG00000185519	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	19.5601962940021	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000107159	x	x	x	x	x	x	x	x	x	x	27.0556196510763	x	x	x	100.742472718859	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000075429	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	36.7669373905515	x	x	x
ENSG00000147481	x	x	x	x	x	x	x	54.378387694489	5.96099469246443	26.2178254775078	12.4931485717584	x	x	x	x	x	x	x	x	x	20.5912793504035	x	x	x	x	x	x	x	x	x
ENSG00000121897	x	x	x	9.39784590345706	x	x	x	17.055632880639	x	17.361925399069	24.6625310396853	x	x	x	x	18.6786099821597	16.9883220111459	x	x	x	x	x	12.6267757019235	x	x	x	27.1557492501482	10.8660562455627	54.1128214960719	x
ENSG00000175550	x	335.95272519512	281.862611791821	213.536821667266	30.3282862761521	x	51.6286348219316	31.0726806669998	46.1641017766655	x	115.487799065392	x	78.481432104426	100.04721299221	x	x	x	54.5016877860845	29.0429886733662	100.665915560777	146.914929836488	123.29982628255	90.6472269804418	x	46.7261288374307	x	130.758674970206	x	162.714844004646	x
ENSG00000100060	x	x	14.9199035103583	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	11.5184934297276	x	x	x	x	x	x	x	x	23.5171716667401
ENSG00000198824	x	192.44728936072	102.279463890685	138.029499238718	7.68843357687431	x	162.392480278533	57.1150924673508	35.6463964644263	10.0847938130523	58.6280875902074	11.9053043802326	39.6118209287178	x	17.1806398797485	x	x	x	x	113.487151071821	145.134811574672	64.0591428913384	35.4348250923545	x	11.1825584937865	x	84.6753709600581	x	18.5103954818843	x
